Entity,Code,Year,Low-carbon energy (TWh growth - equivalent),Renewables (TWh growth - equivalent),Fossil fuels (TWh growth),Nuclear (TWh growth - equivalent)
Africa (EI),,2000,16.421692,15.930801,54.04785,0.4908905
Africa (EI),,2001,9.262909,15.961151,104.91016,-6.6982517
Africa (EI),,2002,14.427673,11.059891,28.389648,3.367796
Africa (EI),,2003,-5.801697,-7.456558,167.84521,1.6548462
Africa (EI),,2004,15.396088,13.679031,243.91504,1.7170639
Africa (EI),,2005,-3.3383179,2.590149,14.580078,-5.9284706
Africa (EI),,2006,6.529022,10.182709,66.77026,-3.653675
Africa (EI),,2007,9.794159,6.4622803,137.0481,3.331871
Africa (EI),,2008,8.718414,4.3601074,231.00073,4.3582993
Africa (EI),,2009,6.162842,6.909912,65.25903,-0.7470665
Africa (EI),,2010,25.16269,23.452911,108.93945,1.7097931
Africa (EI),,2011,6.916809,8.790985,28.651855,-1.8741798
Africa (EI),,2012,1.328949,1.3637695,177.84082,-0.034828186
Africa (EI),,2013,21.453583,18.681427,109.14844,2.7721481
Africa (EI),,2014,24.509857,25.54184,107.39551,-1.03199
Africa (EI),,2015,2.452301,6.6893005,119.15967,-4.236994
Africa (EI),,2016,6.3611145,-0.6163635,126.23389,6.9774723
Africa (EI),,2017,30.216705,32.571045,103.456055,-2.3543396
Africa (EI),,2018,21.984467,28.830414,96.0708,-6.8459225
Africa (EI),,2019,34.05414,29.933258,91.9707,4.1208744
Africa (EI),,2020,24.130157,32.69336,-317.11182,-8.563208
Africa (EI),,2021,32.762817,26.697296,312.76172,6.0655117
Africa (EI),,2022,8.885254,14.639954,5.4404297,-5.7546806
Algeria,DZA,1966,-0.13306463,-0.13306463,5.132944,0
Algeria,DZA,1967,0.16263437,0.16263437,-1.747757,0
Algeria,DZA,1968,0.45241952,0.45241952,1.6451645,0
Algeria,DZA,1969,-0.597312,-0.597312,3.7915154,0
Algeria,DZA,1970,0.64758086,0.64758086,2.5721283,0
Algeria,DZA,1971,-0.73924756,-0.73924756,3.713192,0
Algeria,DZA,1972,0.48790336,0.48790336,4.427101,0
Algeria,DZA,1973,0.759946,0.759946,7.842884,0
Algeria,DZA,1974,-0.75403214,-0.75403214,6.412285,0
Algeria,DZA,1975,-0.49973106,-0.49973106,11.96048,0
Algeria,DZA,1976,0.18037629,0.18037629,11.552055,0
Algeria,DZA,1977,-0.3548388,-0.3548388,8.465332,0
Algeria,DZA,1978,-0.056182742,-0.056182742,23.205048,0
Algeria,DZA,1979,0.12123662,0.12123662,35.057495,0
Algeria,DZA,1980,-0.10053784,-0.10053784,28.703278,0
Algeria,DZA,1981,0.32231206,0.32231206,37.720917,0
Algeria,DZA,1982,0.3341397,0.3341397,32.591797,0
Algeria,DZA,1983,-0.72150534,-0.72150534,23.57605,0
Algeria,DZA,1984,0.6416666,0.6416666,-11.41214,0
Algeria,DZA,1985,0.57365596,0.57365596,1.5267334,0
Algeria,DZA,1986,-1.1709678,-1.1709678,16.36493,0
Algeria,DZA,1987,0.7362905,0.7362905,6.941284,0
Algeria,DZA,1988,-0.9344086,-0.9344086,21.18811,0
Algeria,DZA,1989,0.12715024,0.12715024,-8.480682,0
Algeria,DZA,1990,-0.26908582,-0.26908582,18.17453,0
Algeria,DZA,1991,0.46720415,0.46720415,-3.3458557,0
Algeria,DZA,1992,-0.2779569,-0.2779569,8.4097595,0
Algeria,DZA,1993,0.45537633,0.45537633,-22.687286,0
Algeria,DZA,1994,-0.5529569,-0.5529569,4.4790955,0
Algeria,DZA,1995,0.079838574,0.079838574,11.14389,0
Algeria,DZA,1996,-0.17150527,-0.17150527,-3.0486145,0
Algeria,DZA,1997,-0.17741942,-0.17741942,-11.887512,0
Algeria,DZA,1998,0.41397864,0.41397864,10.075226,0
Algeria,DZA,1999,-0.035483897,-0.035483897,3.120697,0
Algeria,DZA,2000,-0.4405914,-0.4405914,-11.047974,0
Algeria,DZA,2001,0.043029994,0.043029994,10.82428,0
Algeria,DZA,2002,-0.03633389,-0.03633389,11.17392,0
Algeria,DZA,2003,0.60215914,0.60215914,14.369415,0
Algeria,DZA,2004,-0.045238018,-0.045238018,12.90094,0
Algeria,DZA,2005,0.8667588,0.8667588,15.626953,0
Algeria,DZA,2006,-0.97089356,-0.97089356,13.919434,0
Algeria,DZA,2007,0.019882262,0.019882262,20.399841,0
Algeria,DZA,2008,0.1562041,0.1562041,23.760925,0
Algeria,DZA,2009,0.15986115,0.15986115,25.142548,0
Algeria,DZA,2010,-0.4496745,-0.4496745,-9.414764,0
Algeria,DZA,2011,0.5873217,0.5873217,24.906067,0
Algeria,DZA,2012,0.047130823,0.047130823,43.136475,0
Algeria,DZA,2013,-0.79212224,-0.79212224,30.097046,0
Algeria,DZA,2014,0.34034747,0.34034747,48.296143,0
Algeria,DZA,2015,-0.09027076,-0.09027076,31.995117,0
Algeria,DZA,2016,0.3017838,0.3017838,-0.8240967,0
Algeria,DZA,2017,0.64126307,0.64126307,6.157593,0
Algeria,DZA,2018,0.39049387,0.39049387,45.43463,0
Algeria,DZA,2019,0.11676979,0.11676979,24.612305,0
Algeria,DZA,2020,-0.09865618,-0.09865618,-45.35138,0
Algeria,DZA,2021,-0.16021097,-0.16021097,54.329956,0
Algeria,DZA,2022,0.21573365,0.21573365,-18.414612,0
Angola,AGO,1966,,,,0
Angola,AGO,1967,,,,0
Angola,AGO,1968,,,,0
Angola,AGO,1969,,,,0
Angola,AGO,1970,,,,0
Angola,AGO,1971,,,,0
Angola,AGO,1972,,,,0
Angola,AGO,1973,,,,0
Angola,AGO,1974,,,,0
Angola,AGO,1975,,,,0
Angola,AGO,1976,,,,0
Angola,AGO,1977,,,,0
Angola,AGO,1978,,,,0
Angola,AGO,1979,,,,0
Angola,AGO,1980,,,,0
Angola,AGO,1981,,,,0
Angola,AGO,1982,,,,0
Angola,AGO,1983,,,,0
Angola,AGO,1984,,,,0
Angola,AGO,1985,,,,0
Angola,AGO,1986,,,,0
Angola,AGO,1987,,,,0
Angola,AGO,1988,,,,0
Angola,AGO,1989,,,,0
Angola,AGO,1990,,,,0
Angola,AGO,1991,,,,0
Angola,AGO,1992,,,,0
Angola,AGO,1993,,,,0
Angola,AGO,1994,,,,0
Angola,AGO,1995,,,,0
Angola,AGO,1996,,,,0
Angola,AGO,1997,,,,0
Angola,AGO,1998,,,,0
Angola,AGO,1999,,,,0
Angola,AGO,2000,,,,0
Angola,AGO,2001,,,,0
Angola,AGO,2002,,,,0
Angola,AGO,2003,,,,0
Angola,AGO,2004,,,,0
Angola,AGO,2005,,,,0
Angola,AGO,2006,,,,0
Angola,AGO,2007,,,,0
Angola,AGO,2008,,,,0
Angola,AGO,2009,,,,0
Angola,AGO,2010,,,,0
Angola,AGO,2011,,,,0
Angola,AGO,2012,,,,0
Angola,AGO,2013,,,,0
Angola,AGO,2014,,,,0
Angola,AGO,2015,,,,0
Angola,AGO,2016,,,,0
Angola,AGO,2017,,,,0
Angola,AGO,2018,,,,0
Angola,AGO,2019,,,,0
Angola,AGO,2020,,,,0
Angola,AGO,2021,,,,0
Angola,AGO,2022,,,,0
Argentina,ARG,1966,0.04676175,0.04676175,10.600372,0
Argentina,ARG,1967,0.088021755,0.088021755,9.76944,0
Argentina,ARG,1968,0.67116785,0.67116785,11.141052,0
Argentina,ARG,1969,-0.45661402,-0.45661402,12.522858,0
Argentina,ARG,1970,0.81195116,0.81195116,-20.236115,0
Argentina,ARG,1971,-0.023689747,-0.023689747,21.278809,0
Argentina,ARG,1972,-0.0742507,-0.0742507,4.7805176,0
Argentina,ARG,1973,4.3688,4.3688,12.641022,0
Argentina,ARG,1974,8.848761,5.909095,6.971405,2.9396653
Argentina,ARG,1975,4.803623,0.601264,-14.510345,4.2023597
Argentina,ARG,1976,-0.3854828,-0.5415468,20.52826,0.15606308
Argentina,ARG,1977,-0.42007446,2.2330027,19.16449,-2.6530766
Argentina,ARG,1978,9.426693,5.8542614,-8.758026,3.572432
Argentina,ARG,1979,8.125851,8.704704,24.403076,-0.57885313
Argentina,ARG,1980,12.273117,13.271921,-14.909851,-0.9988055
Argentina,ARG,1981,-0.03629303,-1.3869476,-14.01944,1.350657
Argentina,ARG,1982,6.0021057,8.686394,2.5471802,-2.684289
Argentina,ARG,1983,6.9266853,2.5710983,12.324127,4.3555846
Argentina,ARG,1984,7.6948166,4.187649,-6.11438,3.5071688
Argentina,ARG,1985,5.500656,2.3084526,-11.225708,3.1922045
Argentina,ARG,1986,0.97180176,1.127861,26.293854,-0.15606308
Argentina,ARG,1987,4.69088,2.5513954,18.261627,2.1394863
Argentina,ARG,1988,-21.51239,-19.619766,30.413116,-1.892622
Argentina,ARG,1989,-8.3339615,-6.1802864,-10.963074,-2.153675
Argentina,ARG,1990,19.830658,13.468945,-28.249786,6.3617096
Argentina,ARG,1991,-4.1110687,-5.4588814,12.436493,1.3478184
Argentina,ARG,1992,7.8271637,9.742485,30.13504,-1.9153233
Argentina,ARG,1993,15.401451,13.503155,3.131775,1.8982983
Argentina,ARG,1994,11.789589,10.413391,19.129028,1.376194
Argentina,ARG,1995,-5.5684814,-2.2514267,25.043762,-3.3170528
Argentina,ARG,1996,-10.446976,-11.562119,39.33899,1.1151428
Argentina,ARG,1997,17.422249,15.997818,-9.795593,1.4244328
Argentina,ARG,1998,-5.583687,-4.142227,29.253601,-1.4414577
Argentina,ARG,1999,-15.819748,-14.835136,23.460815,-0.98461723
Argentina,ARG,2000,18.986427,21.622482,-16.275513,-2.636053
Argentina,ARG,2001,25.309486,22.936867,-41.562256,2.3726234
Argentina,ARG,2002,-6.0259094,-2.430008,-22.024902,-3.5959034
Argentina,ARG,2003,-0.52378845,-5.2755203,47.55597,4.75173
Argentina,ARG,2004,-9.599144,-10.302895,52.910828,0.7037487
Argentina,ARG,2005,7.4714584,10.345909,38.218628,-2.8744488
Argentina,ARG,2006,12.797562,10.600922,27.237732,2.196638
Argentina,ARG,2007,-21.234428,-19.835526,56.33722,-1.3989029
Argentina,ARG,2008,0.024642944,-0.23061371,11.507935,0.25525856
Argentina,ARG,2009,10.927391,8.93605,-35.594604,1.9913445
Argentina,ARG,2010,-0.31917572,2.4068756,31.777588,-2.726057
Argentina,ARG,2011,-6.024597,-3.7632751,31.146362,-2.26132
Argentina,ARG,2012,-3.2789078,-3.181488,37.89435,-0.097415924
Argentina,ARG,2013,10.718369,11.329826,26.973328,-0.6114578
Argentina,ARG,2014,-1.101532,0.7972183,-0.43896484,-1.8987541
Argentina,ARG,2015,4.289612,0.43408203,12.792725,3.8555279
Argentina,ARG,2016,-4.5597687,-7.652954,0.043945312,3.0931854
Argentina,ARG,2017,2.1636734,7.8994904,-3.1907349,-5.735813
Argentina,ARG,2018,4.5953293,2.6958008,-11.646851,1.8995228
Argentina,ARG,2019,2.823349,-1.0835876,-59.810608,3.9069366
Argentina,ARG,2020,0.4932251,-3.3824844,-58.022705,3.8757153
Argentina,ARG,2021,1.8730164,1.5665817,93.96991,0.30643845
Argentina,ARG,2022,12.782333,19.63173,22.519226,-6.8494034
Asia,,1966,19.811401,18.22522,436.80713,1.5861708
Asia,,1967,-28.672852,-28.800537,303.80176,0.12768829
Asia,,1968,47.120544,45.942963,435.23633,1.1775688
Asia,,1969,19.61612,17.451721,878.02783,2.1644044
Asia,,1970,23.462189,11.878418,969.17773,11.583759
Asia,,1971,54.53598,45.621277,772.5786,8.914732
Asia,,1972,22.737976,18.26587,559.25586,4.472109
Asia,,1973,-34.54944,-38.617004,857.6885,4.067566
Asia,,1974,99.58197,71.242065,147.6709,28.339905
Asia,,1975,61.858276,45.258057,337.83398,16.600208
Asia,,1976,44.308716,17.710266,611.1533,26.59842
Asia,,1977,-19.949463,-10.744812,821.3135,-9.204613
Asia,,1978,127.203064,34.331665,773.0508,92.87135
Asia,,1979,100.90576,56.823364,670.36816,44.08246
Asia,,1980,96.74634,55.541565,-65.259766,41.204742
Asia,,1981,77.31799,56.81952,140.24707,20.498505
Asia,,1982,69.70105,19.669128,262.3369,50.03189
Asia,,1983,111.864624,44.166565,705.8213,67.698
Asia,,1984,90.46924,6.7452393,1169.8516,83.72412
Asia,,1985,275.8048,161.73975,2631.2246,114.065
Asia,,1986,49.517944,10.625,789.16016,38.892883
Asia,,1987,157.3606,37.94934,1031.3262,119.411255
Asia,,1988,119.43921,162.77307,1419.7031,-43.33374
Asia,,1989,65.279785,33.37854,1061.4922,31.901184
Asia,,1990,110.97119,53.757812,862.77734,57.213257
Asia,,1991,71.30469,15.89209,936.7539,55.41278
Asia,,1992,33.934082,10.7717285,1155.1621,23.162354
Asia,,1993,245.37842,148.77197,931.20703,96.606384
Asia,,1994,66.903564,0.044677734,1430.2871,66.85889
Asia,,1995,241.78394,133.54248,1106.4531,108.241455
Asia,,1996,55.674805,-9.890747,1344.9102,65.56555
Asia,,1997,84.157715,5.6486816,886.6387,78.509155
Asia,,1998,154.52686,101.43567,-100.86719,53.091064
Asia,,1999,-8.767578,-31.66504,1122.2715,22.89746
Asia,,2000,100.559814,61.106567,1288.1484,39.453247
Asia,,2001,135.89478,126.689575,1128.0117,9.2052
Asia,,2002,95.799805,68.69214,1796.2891,27.107666
Asia,,2003,-97.04932,72.457886,3225.375,-169.5072
Asia,,2004,526.95703,346.0852,3616.5898,180.87183
Asia,,2005,149.82617,94.71948,3416.961,55.10681
Asia,,2006,281.6953,251.16382,2644.9805,30.531372
Asia,,2007,75.85547,148.65088,3201.0703,-72.79541
Asia,,2008,349.48242,401.73218,1527.8594,-52.24951
Asia,,2009,40.73242,-16.172363,1215.3984,56.90454
Asia,,2010,599.2471,529.7119,3327.3594,69.5354
Asia,,2011,-127.6792,145.61743,3429.8945,-273.29688
Asia,,2012,181.67285,555.48706,2194.836,-373.8142
Asia,,2013,486.09082,481.0288,1325.3281,5.062195
Asia,,2014,620.42773,555.23584,1369.7812,65.19183
Asia,,2015,490.41113,371.88623,935.03125,118.52478
Asia,,2016,614.7197,491.44434,792.3281,123.27551
Asia,,2017,647.5044,586.7793,1946.4453,60.724976
Asia,,2018,812.4961,669.2134,2090.0312,143.28247
Asia,,2019,995.7012,765.7959,1380.3906,229.90588
Asia,,2020,599.30176,579.7461,-1118.7344,19.555664
Asia,,2021,1064.1016,908.23047,3458.6719,155.87085
Asia,,2022,1024.876,938.60645,1046.9141,86.26892
Asia Pacific (EI),,1966,19.978241,18.39206,427.34912,1.5861708
Asia Pacific (EI),,1967,-28.420563,-28.548248,295.73975,0.12768829
Asia Pacific (EI),,1968,47.09433,45.916748,415.02295,1.1775688
Asia Pacific (EI),,1969,19.74173,17.577332,851.73975,2.164404
Asia Pacific (EI),,1970,31.412354,19.828613,966.5801,11.583757
Asia Pacific (EI),,1971,64.28766,55.372925,727.26953,8.914734
Asia Pacific (EI),,1972,21.2995,16.827393,518.0156,4.472109
Asia Pacific (EI),,1973,-28.6073,-32.674866,791.8203,4.067566
Asia Pacific (EI),,1974,102.03638,73.69647,127.322266,28.339909
Asia Pacific (EI),,1975,60.07617,43.475952,335.5625,16.600204
Asia Pacific (EI),,1976,28.802612,2.2041626,505.08984,26.59842
Asia Pacific (EI),,1977,-27.501709,-18.297058,694.7217,-9.204613
Asia Pacific (EI),,1978,123.29382,30.422485,711.16504,92.87135
Asia Pacific (EI),,1979,105.294556,61.212036,495.20312,44.082474
Asia Pacific (EI),,1980,94.02551,52.82086,-17.577148,41.204727
Asia Pacific (EI),,1981,74.173706,53.67511,26.77539,20.498535
Asia Pacific (EI),,1982,57.44641,7.414551,79.771484,50.03186
Asia Pacific (EI),,1983,123.50232,55.80426,485.86523,67.69803
Asia Pacific (EI),,1984,89.07947,5.3554077,943.00977,83.72406
Asia Pacific (EI),,1985,163.35242,64.23523,593.3965,99.11722
Asia Pacific (EI),,1986,73.03577,27.00763,601.9453,46.0282
Asia Pacific (EI),,1987,112.22571,-2.7088623,846.1006,114.93451
Asia Pacific (EI),,1988,64.17761,108.878296,1247.2891,-44.700623
Asia Pacific (EI),,1989,126.26001,84.61511,922.83594,41.644775
Asia Pacific (EI),,1990,81.193115,20.067505,737.1875,61.125793
Asia Pacific (EI),,1991,88.823,34.93994,879.73047,53.882874
Asia Pacific (EI),,1992,-2.3925781,-25.768066,1011.4082,23.375488
Asia Pacific (EI),,1993,211.40747,114.750854,1021.7578,96.65662
Asia Pacific (EI),,1994,87.07568,20.028687,1231.1328,67.046936
Asia Pacific (EI),,1995,242.875,134.64355,1098.584,108.23157
Asia Pacific (EI),,1996,31.203125,-28.605469,1245.1914,59.808716
Asia Pacific (EI),,1997,99.21826,19.27649,774.9746,79.94177
Asia Pacific (EI),,1998,152.84521,99.101074,-208.8789,53.74402
Asia Pacific (EI),,1999,15.571289,-6.189575,1060.834,21.760742
Asia Pacific (EI),,2000,115.41943,75.759155,1046.6836,39.6604
Asia Pacific (EI),,2001,147.41016,138.11731,882.1426,9.292969
Asia Pacific (EI),,2002,58.276367,31.958862,1512.3008,26.317505
Asia Pacific (EI),,2003,-120.586426,48.089478,2935.8477,-168.6759
Asia Pacific (EI),,2004,496.85352,316.5077,3122.3125,180.34583
Asia Pacific (EI),,2005,158.9021,105.17163,2980.9922,53.730347
Asia Pacific (EI),,2006,266.39868,235.61401,2278.8086,30.784912
Asia Pacific (EI),,2007,99.61328,172.1272,2757.1367,-72.514404
Asia Pacific (EI),,2008,409.30322,461.26245,991.60547,-51.958984
Asia Pacific (EI),,2009,43.2041,-13.655518,1057.3867,56.859497
Asia Pacific (EI),,2010,530.0596,460.47363,2751.3906,69.58606
Asia Pacific (EI),,2011,-107.98633,165.70679,2874.9492,-273.69324
Asia Pacific (EI),,2012,144.74072,521.427,1730.6172,-376.68604
Asia Pacific (EI),,2013,478.18555,480.52344,1140.7539,-2.3379517
Asia Pacific (EI),,2014,677.41455,611.9092,883.9336,65.50537
Asia Pacific (EI),,2015,426.604,307.3286,682.83203,119.27521
Asia Pacific (EI),,2016,584.81104,468.0459,351.6328,116.76514
Asia Pacific (EI),,2017,630.53564,571.522,1630.0234,59.013916
Asia Pacific (EI),,2018,833.32227,688.333,1983.9453,144.98865
Asia Pacific (EI),,2019,832.3662,601.4839,1435.0703,230.88269
Asia Pacific (EI),,2020,646.4053,632.0742,-980.2578,14.330688
Asia Pacific (EI),,2021,1120.8857,978.3994,2783.871,142.48657
Asia Pacific (EI),,2022,989.44434,936.6367,610.5547,52.807495
Australia,AUS,1966,-1.057621,-1.057621,21.399109,0
Australia,AUS,1967,0.7901726,0.7901726,26.201355,0
Australia,AUS,1968,0.9937763,0.9937763,27.606934,0
Australia,AUS,1969,2.1661148,2.1661148,18.56839,0
Australia,AUS,1970,4.331917,4.331917,43.3414,0
Australia,AUS,1971,3.959158,3.959158,24.746887,0
Australia,AUS,1972,0.18990707,0.18990707,27.097473,0
Australia,AUS,1973,2.3512154,2.3512154,40.909668,0
Australia,AUS,1974,4.986431,4.986431,37.558716,0
Australia,AUS,1975,3.1895676,3.1895676,8.80957,0
Australia,AUS,1976,-2.186222,-2.186222,27.374268,0
Australia,AUS,1977,-1.9790611,-1.9790611,38.859314,0
Australia,AUS,1978,3.268921,3.268921,21.983398,0
Australia,AUS,1979,-1.2279205,-1.2279205,31.298523,0
Australia,AUS,1980,-2.4101906,-2.4101906,5.3657837,0
Australia,AUS,1981,1.2426949,1.2426949,12.304199,0
Australia,AUS,1982,-2.8833618,-2.8833618,-4.991089,0
Australia,AUS,1983,-2.1835823,-2.1835823,-26.79663,0
Australia,AUS,1984,2.995716,2.995716,28.485107,0
Australia,AUS,1985,2.4565353,2.4565353,22.69336,0
Australia,AUS,1986,0.26496506,0.26496506,17.07013,0
Australia,AUS,1987,-1.186367,-1.186367,27.463135,0
Australia,AUS,1988,2.9641113,2.9641113,39.30481,0
Australia,AUS,1989,0.013336182,0.013336182,48.61969,0
Australia,AUS,1990,1.3345337,1.3345337,19.641174,0
Australia,AUS,1991,2.5319748,2.5319748,-10.2855835,0
Australia,AUS,1992,0.71325684,0.71325684,16.169128,0
Australia,AUS,1993,1.3306503,1.3306503,20.559387,0
Australia,AUS,1994,-0.5975838,-0.5975838,41.98535,0
Australia,AUS,1995,-1.107357,-1.107357,49.940308,0
Australia,AUS,1996,1.3973923,1.3973923,32.44043,0
Australia,AUS,1997,0.13031387,0.13031387,29.020874,0
Australia,AUS,1998,-0.14302826,-0.14302826,29.185547,0
Australia,AUS,1999,1.6860008,1.6860008,49.33081,0
Australia,AUS,2000,0.055419922,0.055419922,7.8568115,0
Australia,AUS,2001,-1.1497726,-1.1497726,11.275391,0
Australia,AUS,2002,1.8346062,1.8346062,24.52539,0
Australia,AUS,2003,1.8881531,1.8881531,17.229004,0
Australia,AUS,2004,2.0530434,2.0530434,41.528687,0
Australia,AUS,2005,4.144966,4.144966,1.7612305,0
Australia,AUS,2006,1.4304466,1.4304466,59.05725,0
Australia,AUS,2007,-2.370552,-2.370552,37.699585,0
Australia,AUS,2008,-3.5075493,-3.5075493,29.08606,0
Australia,AUS,2009,2.7896118,2.7896118,-24.990479,0
Australia,AUS,2010,5.8951073,5.8951073,-6.6011963,0
Australia,AUS,2011,23.58693,23.58693,26.17688,0
Australia,AUS,2012,-1.2831268,-1.2831268,-21.206177,0
Australia,AUS,2013,13.925331,13.925331,5.5477295,0
Australia,AUS,2014,-7.838379,-7.838379,18.71045,0
Australia,AUS,2015,7.1486664,7.1486664,27.94519,0
Australia,AUS,2016,14.841789,14.841789,-9.627441,0
Australia,AUS,2017,-7.4342346,-7.4342346,2.6378174,0
Australia,AUS,2018,26.543541,26.543541,-3.048462,0
Australia,AUS,2019,14.53537,14.53537,40.25525,0
Australia,AUS,2020,22.853973,22.853973,-116.02759,0
Australia,AUS,2021,33.413757,33.413757,-27.906128,0
Australia,AUS,2022,34.753387,34.753387,33.845093,0
Austria,AUT,1966,3.6903229,3.6903229,5.1364594,0
Austria,AUT,1967,1.0852127,1.0852127,0.9532013,0
Austria,AUT,1968,1.440052,1.440052,12.438034,0
Austria,AUT,1969,-4.337902,-4.337902,12.022827,0
Austria,AUT,1970,13.518471,13.518471,18.70427,0
Austria,AUT,1971,-13.21656,-13.21656,12.151474,0
Austria,AUT,1972,1.3823929,1.3823929,7.3592224,0
Austria,AUT,1973,5.682148,5.682148,14.002228,0
