Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Argentina,ARG,1976,15229.681,277.59668,571.45184
Argentina,ARG,1977,15705.63,173.88072,645.98193
Argentina,ARG,1978,15132.868,302.7115,851.351
Argentina,ARG,1979,15777.248,276.91968,1153.4015
Argentina,ARG,1980,14997.139,236.92526,1608.8427
Argentina,ARG,1981,14269.553,280.64917,1534.8994
Argentina,ARG,1982,14134.874,183.45937,1811.2704
Argentina,ARG,1983,14335.764,328.8862,1870.7758
Argentina,ARG,1984,13912.129,441.43262,1982.6127
Argentina,ARG,1985,13332.522,540.20026,2029.0524
Argentina,ARG,1986,13987.672,527.02203,2035.2977
Argentina,ARG,1987,14362.914,587.656,2086.509
Argentina,ARG,1988,15107.617,519.1386,1436.1788
Argentina,ARG,1989,14543.697,444.51715,1222.8326
Argentina,ARG,1990,13467.861,633.00946,1617.8336
Argentina,ARG,1991,13653.088,664.77136,1430.0657
Argentina,ARG,1992,14362.695,598.5544,1700.5907
Argentina,ARG,1993,14261.009,646.2687,2074.4868
Argentina,ARG,1994,14624.844,677.5244,2348.6665
Argentina,ARG,1995,15150.054,573.73706,2253.4985
Argentina,ARG,1996,16071.908,598.06177,1898.5623
Argentina,ARG,1997,15606.976,630.7091,2322.6155
Argentina,ARG,1998,16234.63,583.66364,2181.549
Argentina,ARG,1999,16688.752,550.115,1751.8158
Argentina,ARG,2000,16061.652,472.80722,2315.3508
Argentina,ARG,2001,14777.17,530.9416,2902.0085
Argentina,ARG,2002,14038.02,430.35602,2806.8796
Argentina,ARG,2003,15136.219,550.0728,2640.2305
Argentina,ARG,2004,16351.621,562.7154,2347.1194
Argentina,ARG,2005,17161.695,483.35898,2587.7883
Argentina,ARG,2006,17675.01,534.0272,2829.6863
Argentina,ARG,2007,18910.846,493.59906,2303.9253
Argentina,ARG,2008,19009.867,495.06348,2275.4507
Argentina,ARG,2009,17943.129,539.0137,2472.1309
Argentina,ARG,2010,18534.785,467.2336,2505.6836
Argentina,ARG,2011,19097.164,408.03802,2389.6646
Argentina,ARG,2012,19803.955,401.51785,2289.2427
Argentina,ARG,2013,20236.637,382.96365,2532.9878
Argentina,ARG,2014,20020.451,334.72797,2525.8271
Argentina,ARG,2015,20115.785,420.50797,2510.5789
Argentina,ARG,2016,19927.385,487.3823,2311.6875
Argentina,ARG,2017,19680.186,352.90994,2470.724
Argentina,ARG,2018,19258.883,392.82648,2511.452
Argentina,ARG,2019,17779.336,477.22705,2468.6052
Argentina,ARG,2020,16376.283,560.20667,2377.5747
Argentina,ARG,2021,18364.658,563.996,2399.5322
Argentina,ARG,2022,18765.236,410.5996,2818.5876
Asia,,1965,2593.6575,0.037304364,222.3872
Asia,,1966,2756.053,0.8506556,226.44109
Asia,,1967,2844.5586,0.8949819,206.75435
Asia,,1968,2990.0364,1.4501771,224.33261
Asia,,1969,3336.7114,2.448705,227.21378
Asia,,1970,3708.8499,7.7907963,227.32373
Asia,,1971,3975.4124,11.672125,242.87311
Asia,,1972,4135.672,13.402955,245.58287
Asia,,1973,4417.263,14.87635,223.31256
Asia,,1974,4385.4126,26.632406,248.8767
Asia,,1975,4437.785,33.024063,262.73886
Asia,,1976,4602.0396,43.273533,264.90094
Asia,,1977,4844.678,38.756546,255.56485
Asia,,1978,5059.825,74.64973,264.37238
Asia,,1979,5224.946,90.313416,281.43222
Asia,,1980,5100.2217,104.221085,297.12375
Asia,,1981,5052.858,109.81348,312.4645
Asia,,1982,5047.5483,125.86182,313.3928
Asia,,1983,5200.0757,147.57088,322.9857
Asia,,1984,5509.3267,174.05548,319.09097
Asia,,1985,6306.246,209.86427,368.45825
Asia,,1986,6447.955,218.83534,364.78372
Asia,,1987,6660.039,253.90372,370.04752
Asia,,1988,6988.958,234.89563,415.47903
Asia,,1989,7191.7744,240.51364,418.09866
Asia,,1990,7324.175,253.77467,426.91705
Asia,,1991,7479.6816,266.1848,424.13998
Asia,,1992,7702.689,268.72247,420.32178
Asia,,1993,7855.5366,293.035,457.6591
Asia,,1994,8151.1943,307.99985,450.61145
Asia,,1995,8346.813,334.46332,482.20346
Asia,,1996,8606.345,348.16574,472.4164
Asia,,1997,8732.054,365.14474,467.31732
Asia,,1998,8583.624,374.7019,488.76053
Asia,,1999,8772.187,375.85275,473.56464
Asia,,2000,8999.97,381.39862,483.60352
Asia,,2001,9178.793,378.77988,510.669
Asia,,2002,9528.807,380.96222,521.9941
Asia,,2003,10240.069,332.54196,534.11694
Asia,,2004,11034.729,374.48102,615.6142
Asia,,2005,11760.506,383.8191,632.00275
Asia,,2006,12277.209,386.82913,686.8414
Asia,,2007,12919.018,364.43658,715.27924
Asia,,2008,13139.845,347.53857,804.42926
Asia,,2009,13278.283,357.13547,791.18976
Asia,,2010,13913.51,369.49133,907.5819
Asia,,2011,14559.163,301.2717,931.39746
Asia,,2012,14903.371,211.28625,1049.5631
Asia,,2013,15042.6875,210.11676,1148.1871
Asia,,2014,15192.178,222.64307,1261.7352
Asia,,2015,15245.994,246.94363,1332.2017
Asia,,2016,15270.59,271.86856,1428.1138
Asia,,2017,15550.419,282.58417,1543.2957
Asia,,2018,15864.545,311.2401,1675.1049
Asia,,2019,16029.353,358.30142,1826.4906
Asia,,2020,15667.932,359.77908,1936.9718
Asia,,2021,16303.895,390.67166,2118.0044
Asia,,2022,16428.768,406.62253,2304.2197
Australia,AUS,1965,35395.805,0,2084.9104
Australia,AUS,1966,36529.594,0,1951.7322
Australia,AUS,1967,38078.816,0,1982.8727
Australia,AUS,1968,39683.492,0,2029.5337
Australia,AUS,1969,40417.2,0,2166.213
Australia,AUS,1970,42810.016,0,2453.9646
Australia,AUS,1971,43400.63,0,2683.344
Australia,AUS,1972,44437.89,0,2635.7896
Australia,AUS,1973,46764.816,0,2768.2363
Australia,AUS,1974,48821.367,0,3091.4663
Australia,AUS,1975,48845.88,0,3282.5305
Australia,AUS,1976,50269.727,0,3091.437
Australia,AUS,1977,52457.586,0,2918.1785
Australia,AUS,1978,53395.305,0,3112.8638
Australia,AUS,1979,54945.08,0,2992.9883
Australia,AUS,1980,54615.76,0,2791.2869
Australia,AUS,1981,54621.473,0,2832.694
Australia,AUS,1982,53433.984,0,2598.0852
Australia,AUS,1983,50946.49,0,2419.8884
Australia,AUS,1984,52132.617,0,2581.6687
Australia,AUS,1985,52889.207,0,2703.5625
Australia,AUS,1986,53206.754,0,2681.848
Australia,AUS,1987,54087.707,0,2568.1492
Australia,AUS,1988,55593.363,0,2706.073
Australia,AUS,1989,57592.066,0,2663.2573
Australia,AUS,1990,57894.836,0,2702.2617
Australia,AUS,1991,56551.473,0,2813.9587
Australia,AUS,1992,56857.543,0,2823.9597
Australia,AUS,1993,57478.57,0,2872.3596
Australia,AUS,1994,59274.9,0,2810.7297
Australia,AUS,1995,61398.64,0,2718.3857
Australia,AUS,1996,62475.82,0,2763.9421
Australia,AUS,1997,63378.875,0,2741.234
Australia,AUS,1998,64295.676,0,2705.3374
Australia,AUS,1999,66238.22,0,2766.3467
Australia,AUS,2000,65895.28,0,2737.685
Australia,AUS,2001,65693.06,0,2645.2122
Australia,AUS,2002,66184.305,0,2708.4856
Australia,AUS,2003,66309.15,0,2773.6526
Australia,AUS,2004,67641.09,0,2845.223
Australia,AUS,2005,66901.25,0,3015.9136
Australia,AUS,2006,68821.48,0,3042.29
Australia,AUS,2007,69429.336,0,2875.358
Australia,AUS,2008,69435.5,0,2653.844
Australia,AUS,2009,66957.82,0,2732.027
Australia,AUS,2010,65568.57,0,2955.301
Australia,AUS,2011,65748.54,0,3965.6514
Australia,AUS,2012,63738.773,0,3844.2527
Australia,AUS,2013,62923.895,0,4383.1484
Australia,AUS,2014,62761.85,0,3982.3477
Australia,AUS,2015,63011.094,0,4223.8315
Australia,AUS,2016,61635.395,0,4771.693
Australia,AUS,2017,60753.53,0,4392.7925
Australia,AUS,2018,59685.64,0,5387.0273
Australia,AUS,2019,60383.58,0,5879.961
Australia,AUS,2020,55127.62,0,6698.589
Australia,AUS,2021,53517.137,0,7922.7705
Australia,AUS,2022,54286.04,0,9172.805
Austria,AUT,1965,19524.502,0,6541.6733
Austria,AUT,1966,20090.027,0,7000.156
Austria,AUT,1967,20070.238,0,7095.3643
Austria,AUT,1968,21644.56,0,7253.062
Austria,AUT,1969,23186.455,0,6645.0854
Austria,AUT,1970,25611.236,0,8432.793
Austria,AUT,1971,27118.223,0,6632.8647
Austria,AUT,1972,27937.443,0,6777.8687
Austria,AUT,1973,29629.223,0,7489.612
Austria,AUT,1974,28406.164,0,8840.264
Austria,AUT,1975,27808.29,0,9286.367
Austria,AUT,1976,30419.934,0,8040.218
Austria,AUT,1977,28799.48,0,9739.236
Austria,AUT,1978,30480.5,0,9754.929
Austria,AUT,1979,31684.107,0,11007.9
Austria,AUT,1980,31108.863,0,11404.694
Austria,AUT,1981,29116.54,0,12055.418
Austria,AUT,1982,27731.283,0,12066.638
Austria,AUT,1983,27780.08,0,11972.639
Austria,AUT,1984,28851.346,0,10503.83
Austria,AUT,1985,29329.434,0,12432.113
Austria,AUT,1986,29197.152,0,12619.191
Austria,AUT,1987,29909.434,0,14200.749
Austria,AUT,1988,29193.416,0,14206.123
Austria,AUT,1989,29360.508,0,14077.761
Austria,AUT,1990,31030.496,0,12618.307
Austria,AUT,1991,32820.055,0,12503.52
Austria,AUT,1992,30429.344,0,13695.005
Austria,AUT,1993,30250.023,0,14292.99
Austria,AUT,1994,30300.043,0,13802.451
Austria,AUT,1995,31628.078,0,14555.038
Austria,AUT,1996,32810.457,0,13369.738
Austria,AUT,1997,32988.797,0,14113.503
Austria,AUT,1998,33252,0,14552.544
Austria,AUT,1999,33068.613,0,15740.053
Austria,AUT,2000,32760.379,0,16102.902
Austria,AUT,2001,34883,0,15538.107
Austria,AUT,2002,35014.863,0,15239.778
Austria,AUT,2003,37821.41,0,12701.796
Austria,AUT,2004,37007.59,0,14131.729
Austria,AUT,2005,37271.496,0,14443.221
Austria,AUT,2006,36372.133,0,14549.552
Austria,AUT,2007,34288.293,0,15380.897
Austria,AUT,2008,34661.234,0,15813.775
Austria,AUT,2009,32030.625,0,16734.557
Austria,AUT,2010,34365.117,0,15875.842
Austria,AUT,2011,32799.523,0,14400.961
Austria,AUT,2012,31523.557,0,17651.035
Austria,AUT,2013,31387.395,0,17106.18
Austria,AUT,2014,29268.635,0,16927.83
Austria,AUT,2015,29695.01,0,15991.777
Austria,AUT,2016,30027.902,0,16670.883
Austria,AUT,2017,31044.086,0,16378.961
Austria,AUT,2018,30239.326,0,15947.219
Austria,AUT,2019,31141.334,0,17172.928
Austria,AUT,2020,27833.709,0,17194.56
Austria,AUT,2021,28916.21,0,16324.84
Austria,AUT,2022,27059.148,0,15626.231
Azerbaijan,AZE,1985,33531.336,0,563.22015
Azerbaijan,AZE,1986,35732.816,0,339.3284
Azerbaijan,AZE,1987,34018.645,0,333.45038
Azerbaijan,AZE,1988,33484.992,0,284.3575
Azerbaijan,AZE,1989,33744.9,0,280.96304
Azerbaijan,AZE,1990,34417.613,0,660.04224
Azerbaijan,AZE,1991,32520.611,0,690.1098
Azerbaijan,AZE,1992,27373.764,0,675.98004
Azerbaijan,AZE,1993,23101.287,0,926.81555
Azerbaijan,AZE,1994,21152.613,0,691.8137
Azerbaijan,AZE,1995,19779.477,0,583.2019
Azerbaijan,AZE,1996,16001.271,0,571.7488
Azerbaijan,AZE,1997,15136.405,0,632.7903
Azerbaijan,AZE,1998,15032.282,0,717.4498
Azerbaijan,AZE,1999,15046.717,0,549.6828
Azerbaijan,AZE,2000,15569.463,0,553.82574
Azerbaijan,AZE,2001,14900.381,0,461.48856
Azerbaijan,AZE,2002,14298.943,0,704.24695
Azerbaijan,AZE,2003,15228.88,0,846.49286
Azerbaijan,AZE,2004,17058.92,0,927.8629
Azerbaijan,AZE,2005,18278.164,0,995.4846
Azerbaijan,AZE,2006,17907.168,0,817.5785
Azerbaijan,AZE,2007,16262.671,0,752.89355
Azerbaijan,AZE,2008,16236.193,0,696.9179
Azerbaijan,AZE,2009,13641.375,0,707.5463
Azerbaijan,AZE,2010,12923.233,0,1035.6885
Azerbaijan,AZE,2011,14875.002,0,788.716
Azerbaijan,AZE,2012,15410.191,0,526.3849
Azerbaijan,AZE,2013,15640.536,0,444.81433
Azerbaijan,AZE,2014,15754.086,0,391.3848
Azerbaijan,AZE,2015,16959.52,0,479.00803
Azerbaijan,AZE,2016,16520.219,0,569.26935
Azerbaijan,AZE,2017,16108.514,0,504.12286
Azerbaijan,AZE,2018,16379.22,0,518.0196
Azerbaijan,AZE,2019,17074.594,0,472.18802
Azerbaijan,AZE,2020,17462.857,0,340.77127
Azerbaijan,AZE,2021,18583.152,0,391.18164
Azerbaijan,AZE,2022,18278.574,0,469.34256
Azerbaijan,AZE,1980,,0,
Azerbaijan,AZE,1981,,0,
Azerbaijan,AZE,1982,,0,
Azerbaijan,AZE,1983,,0,
Azerbaijan,AZE,1984,,0,
Bahrain,BHR,1965,,0,
Bahrain,BHR,1966,,0,
Bahrain,BHR,1967,,0,
Bahrain,BHR,1968,,0,
Bahrain,BHR,1969,,0,
Bahrain,BHR,1970,,0,
Bahrain,BHR,1971,,0,
Bahrain,BHR,1972,,0,
Bahrain,BHR,1973,,0,
Bahrain,BHR,1974,,0,
Bahrain,BHR,1975,,0,
Bahrain,BHR,1976,,0,
Bahrain,BHR,1977,,0,
Bahrain,BHR,1978,,0,
Bahrain,BHR,1979,,0,
Bahrain,BHR,1980,,0,
Bahrain,BHR,1981,,0,
Bahrain,BHR,1982,,0,
Bahrain,BHR,1983,,0,
Bahrain,BHR,1984,,0,
Bahrain,BHR,1985,,0,
Bahrain,BHR,1986,,0,
Bahrain,BHR,1987,,0,
Bahrain,BHR,1988,,0,
Bahrain,BHR,1989,,0,
Bahrain,BHR,1990,,0,
Bahrain,BHR,1991,,0,
Bahrain,BHR,1992,,0,
Bahrain,BHR,1993,,0,
Bahrain,BHR,1994,,0,
Bahrain,BHR,1995,,0,
Bahrain,BHR,1996,,0,
Bahrain,BHR,1997,,0,
Bahrain,BHR,1998,,0,
Bahrain,BHR,1999,,0,
Bahrain,BHR,2000,,0,
Bahrain,BHR,2001,,0,
Bahrain,BHR,2002,,0,
Bahrain,BHR,2003,,0,
Bahrain,BHR,2004,,0,
Bahrain,BHR,2005,,0,
Bahrain,BHR,2006,,0,
Bahrain,BHR,2007,,0,
Bahrain,BHR,2008,,0,
Bahrain,BHR,2009,,0,
Bahrain,BHR,2010,,0,
Bahrain,BHR,2011,,0,
Bahrain,BHR,2012,,0,
Bahrain,BHR,2013,,0,
Bahrain,BHR,2014,,0,
Bahrain,BHR,2015,,0,
Bahrain,BHR,2016,,0,
Bahrain,BHR,2017,,0,
Bahrain,BHR,2018,,0,
Bahrain,BHR,2019,,0,
Bahrain,BHR,2020,,0,
Bahrain,BHR,2021,,0,
Bahrain,BHR,2022,,0,
Bangladesh,BGD,1971,188.50717,0,7.568028
Bangladesh,BGD,1972,211.59084,0,7.4621134
Bangladesh,BGD,1973,260.05392,0,13.757338
Bangladesh,BGD,1974,274.5525,0,9.850171
Bangladesh,BGD,1975,268.29678,0,17.258919
Bangladesh,BGD,1976,306.78494,0,19.124786
Bangladesh,BGD,1977,309.0183,0,16.537506
Bangladesh,BGD,1978,319.06598,0,18.701193
Bangladesh,BGD,1979,342.56836,0,21.191452
Bangladesh,BGD,1980,393.50113,0,20.540087
Bangladesh,BGD,1981,406.14758,0,21.451128
Bangladesh,BGD,1982,441.47354,0,17.463715
Bangladesh,BGD,1983,419.92932,0,21.50054
Bangladesh,BGD,1984,436.09802,0,28.357735
Bangladesh,BGD,1985,480.29718,0,22.772358
Bangladesh,BGD,1986,521.0646,0,13.5404625
Bangladesh,BGD,1987,561.8036,0,15.21305
Bangladesh,BGD,1988,609.41785,0,19.437046
Bangladesh,BGD,1989,637.72974,0,25.935122
Bangladesh,BGD,1990,664.89954,0,24.396038
Bangladesh,BGD,1991,629.5759,0,22.683018
Bangladesh,BGD,1992,677.22986,0,21.153221
Bangladesh,BGD,1993,737.42566,0,15.851429
Bangladesh,BGD,1994,762.752,0,21.663036
Bangladesh,BGD,1995,899.95435,0,9.338388
Bangladesh,BGD,1996,917.752,0,18.228828
Bangladesh,BGD,1997,948.5861,0,17.421244
Bangladesh,BGD,1998,989.15094,0,20.56925
Bangladesh,BGD,1999,982.3862,0,19.43257
Bangladesh,BGD,2000,1036.4779,0,17.143183
Bangladesh,BGD,2001,1159.4683,0,22.155485
Bangladesh,BGD,2002,1146.8385,0,16.300148
Bangladesh,BGD,2003,1192.2144,0,15.932247
Bangladesh,BGD,2004,1245.8762,0,15.590723
Bangladesh,BGD,2005,1330.5619,0,15.289142
Bangladesh,BGD,2006,1423.682,0,15.081984
Bangladesh,BGD,2007,1443.2177,0,14.901632
Bangladesh,BGD,2008,1509.882,0,18.70714
Bangladesh,BGD,2009,1652.4532,0,8.519103
Bangladesh,BGD,2010,1671.3583,0,14.572278
Bangladesh,BGD,2011,1789.1952,0,17.199257
Bangladesh,BGD,2012,1922.3849,0,15.763239
Bangladesh,BGD,2013,1975.869,0,15.300506
Bangladesh,BGD,2014,2027.8347,0,12.863498
Bangladesh,BGD,2015,2421.9001,0,18.868279
Bangladesh,BGD,2016,2397.0615,0,18.666649
Bangladesh,BGD,2017,2472.8562,0,21.258905
Bangladesh,BGD,2018,2611.4387,0,18.589115
Bangladesh,BGD,2019,2897.8386,0,18.478964
Bangladesh,BGD,2020,2712.8289,0,17.24893
Bangladesh,BGD,2021,2811.3948,0,19.76727
Bangladesh,BGD,2022,2890.0796,0,21.968452
Belarus,BLR,1985,40262.094,0,5.8362236
Belarus,BLR,1986,45657.13,0,5.79706
Belarus,BLR,1987,46010.918,0,5.7581506
Belarus,BLR,1988,46387.63,0,5.7231154
Belarus,BLR,1989,44630.234,0,5.6932936
Belarus,BLR,1990,44676.812,0,5.670956
Belarus,BLR,1991,44451.13,0,5.08967
Belarus,BLR,1992,38479.266,0,4.798521
Belarus,BLR,1993,32160.344,0,5.360704
Belarus,BLR,1994,26897.057,0,5.3633075
Belarus,BLR,1995,23958.543,0,5.6529775
Belarus,BLR,1996,24633.928,0,4.5333347
Belarus,BLR,1997,25001.521,0,5.9703016
Belarus,BLR,1998,24549.229,0,7.993826
Belarus,BLR,1999,23996.287,0,5.4502563
Belarus,BLR,2000,24860.398,0,7.784205
Belarus,BLR,2001,24298.285,0,8.6395235
Belarus,BLR,2002,25301.59,0,8.351539
Belarus,BLR,2003,25283.945,0,8.067186
Belarus,BLR,2004,28499.082,0,9.8008
Belarus,BLR,2005,28589.797,0,10.663756
Belarus,BLR,2006,30587.021,0,11.01998
Belarus,BLR,2007,29984.502,0,14.907924
Belarus,BLR,2008,30482.754,0,30.646965
Belarus,BLR,2009,28900.855,0,57.020115
Belarus,BLR,2010,31389.23,0,80.80804
Belarus,BLR,2011,30903.95,0,77.13713
Belarus,BLR,2012,33469.1,0,88.33494
Belarus,BLR,2013,30326.1,0,95.75592
Belarus,BLR,2014,30333.637,0,92.592
Belarus,BLR,2015,27428.78,0,98.381546
Belarus,BLR,2016,27985.99,0,118.53891
Belarus,BLR,2017,28404.71,0,218.31895
Belarus,BLR,2018,31491.64,0,198.35622
Belarus,BLR,2019,31680.496,0,242.94302
Belarus,BLR,2020,29369.084,88.42041,311.05356
Belarus,BLR,2021,30101.766,1515.3528,293.7049
Belarus,BLR,2022,29592.15,1230.5691,309.97775
Belarus,BLR,1980,,0,
Belarus,BLR,1981,,0,
Belarus,BLR,1982,,0,
Belarus,BLR,1983,,0,
Belarus,BLR,1984,,0,
Belgium,BEL,1965,43788.027,0,85.454025
Belgium,BEL,1966,41934.61,1.7985293,93.40049
Belgium,BEL,1967,43791.316,28.031525,73.961784
Belgium,BEL,1968,48609.234,18.112564,75.50082
Belgium,BEL,1969,53172.094,6.507985,70.90284
